timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2025-09-23 06:00:00+10:00,2697563.0,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 07:00:00+10:00,844819.58,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 08:00:00+10:00,518470.72,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 09:00:00+10:00,-45472.859,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 10:00:00+10:00,-56703.426,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 11:00:00+10:00,95071.651,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 12:00:00+10:00,-98967.138,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 13:00:00+10:00,-113957.38,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 14:00:00+10:00,-171836.96,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 15:00:00+10:00,-184634.46,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 16:00:00+10:00,699804.11,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 17:00:00+10:00,2947480.2,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 18:00:00+10:00,3374659.6,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 19:00:00+10:00,2767197.3,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 20:00:00+10:00,2807578.2,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 21:00:00+10:00,2831703.1,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 22:00:00+10:00,2317120.5,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-23 23:00:00+10:00,2200479.8,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 00:00:00+10:00,1665256.7,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 01:00:00+10:00,1323142.5,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 02:00:00+10:00,1152307.1,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 03:00:00+10:00,1000557.7,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 04:00:00+10:00,1042085.0,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 05:00:00+10:00,1666199.4,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 06:00:00+10:00,2219066.9,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 07:00:00+10:00,290071.51,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 08:00:00+10:00,38631.273,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 09:00:00+10:00,-128474.34,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 10:00:00+10:00,-268304.37,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 11:00:00+10:00,-300920.07,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 12:00:00+10:00,-255308.01,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 13:00:00+10:00,-97118.681,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 14:00:00+10:00,39304.253,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 15:00:00+10:00,163310.1,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 16:00:00+10:00,1117405.4,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 17:00:00+10:00,2828649.6,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 18:00:00+10:00,3808657.4,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 19:00:00+10:00,3938013.8,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
2025-09-24 20:00:00+10:00,3464695.0,market_value,$,1h,NEM,2025-10-23 05:47:21.434527,hourly_1month
