timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2025-10-16 05:50:00+10:00,21739.745,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 05:55:00+10:00,21867.263,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:00:00+10:00,21858.774,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:05:00+10:00,21848.188,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:10:00+10:00,22018.435,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:15:00+10:00,21979.412,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:20:00+10:00,22165.318,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:25:00+10:00,22153.8,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:30:00+10:00,22047.286,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:35:00+10:00,22070.635,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:40:00+10:00,22023.168,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:45:00+10:00,21745.936,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:50:00+10:00,22026.574,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 06:55:00+10:00,22104.061,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:00:00+10:00,22093.993,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:05:00+10:00,22448.53,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:10:00+10:00,22585.888,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:15:00+10:00,22303.382,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:20:00+10:00,22369.824,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:25:00+10:00,22268.357,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:30:00+10:00,21979.131,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:35:00+10:00,21453.996,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:40:00+10:00,21185.022,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:45:00+10:00,21011.002,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:50:00+10:00,20705.35,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 07:55:00+10:00,20198.432,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:00:00+10:00,20217.532,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:05:00+10:00,20062.004,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:10:00+10:00,19736.965,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:15:00+10:00,19686.369,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:20:00+10:00,19564.206,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:25:00+10:00,19165.734,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:30:00+10:00,19156.988,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:35:00+10:00,18751.682,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:40:00+10:00,18748.303,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:45:00+10:00,18723.045,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:50:00+10:00,18573.797,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 08:55:00+10:00,18384.917,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 09:00:00+10:00,18122.645,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 09:05:00+10:00,18030.445,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 09:10:00+10:00,17916.715,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 09:15:00+10:00,17789.364,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 09:20:00+10:00,17712.186,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 09:25:00+10:00,17510.627,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
2025-10-16 09:30:00+10:00,17633.185,power,MW,5m,NEM,2025-10-23 05:47:16.108045,fivemin_1week
