timestamp,value,metric,unit,interval,network,fetch_timestamp,dataset_type
2025-09-28 06:00:00+10:00,218512.37,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 07:00:00+10:00,209861.2,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 08:00:00+10:00,198398.7,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 09:00:00+10:00,185476.31,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 10:00:00+10:00,181623.6,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 11:00:00+10:00,176329.14,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 12:00:00+10:00,174714.79,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 13:00:00+10:00,182412.28,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 14:00:00+10:00,189727.72,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 15:00:00+10:00,209499.59,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 16:00:00+10:00,234221.93,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 17:00:00+10:00,271034.14,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 18:00:00+10:00,309168.7,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 19:00:00+10:00,308605.85,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 20:00:00+10:00,291270.46,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 21:00:00+10:00,278344.46,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 22:00:00+10:00,264336.8,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-28 23:00:00+10:00,257157.16,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 00:00:00+10:00,246740.9,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 01:00:00+10:00,237477.57,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 02:00:00+10:00,231580.51,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 03:00:00+10:00,228624.05,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 04:00:00+10:00,231745.78,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 05:00:00+10:00,244491.44,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 06:00:00+10:00,256432.4,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 07:00:00+10:00,258619.82,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 08:00:00+10:00,245433.59,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 09:00:00+10:00,218118.53,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 10:00:00+10:00,209424.15,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 11:00:00+10:00,205542.02,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 12:00:00+10:00,203000.26,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 13:00:00+10:00,200669.97,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 14:00:00+10:00,214378.4,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 15:00:00+10:00,244760.9,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 16:00:00+10:00,277407.89,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 17:00:00+10:00,315155.54,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 18:00:00+10:00,334253.78,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 19:00:00+10:00,320164.2,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 20:00:00+10:00,300774.78,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 21:00:00+10:00,284903.04,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 22:00:00+10:00,273942.43,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-29 23:00:00+10:00,260183.07,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 00:00:00+10:00,249492.96,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 01:00:00+10:00,238774.46,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 02:00:00+10:00,230796.85,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 03:00:00+10:00,227255.86,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 04:00:00+10:00,228433.89,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 05:00:00+10:00,238479.1,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 06:00:00+10:00,249397.42,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 07:00:00+10:00,259992.37,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 08:00:00+10:00,251611.53,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 09:00:00+10:00,226401.99,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 10:00:00+10:00,228067.71,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 11:00:00+10:00,221781.19,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 12:00:00+10:00,226670.71,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 13:00:00+10:00,229451.13,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 14:00:00+10:00,231462.22,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 15:00:00+10:00,255096.55,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 16:00:00+10:00,276577.05,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 17:00:00+10:00,307704.61,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 18:00:00+10:00,338831.56,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 19:00:00+10:00,327568.68,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 20:00:00+10:00,307426.54,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 21:00:00+10:00,292152.31,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 22:00:00+10:00,274617.18,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-09-30 23:00:00+10:00,263389.61,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 00:00:00+10:00,251948.82,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 01:00:00+10:00,241816.7,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 02:00:00+10:00,233022.37,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 03:00:00+10:00,227888.13,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 04:00:00+10:00,228121.21,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 05:00:00+10:00,239557.43,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 06:00:00+10:00,254799.86,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 07:00:00+10:00,259907.46,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 08:00:00+10:00,250534.4,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 09:00:00+10:00,241441.05,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 10:00:00+10:00,235151.85,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 11:00:00+10:00,231714.67,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 12:00:00+10:00,229120.22,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 13:00:00+10:00,237655.56,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 14:00:00+10:00,238380.83,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 15:00:00+10:00,250849.99,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 16:00:00+10:00,279409.85,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 17:00:00+10:00,304627.45,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 18:00:00+10:00,334190.33,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 19:00:00+10:00,325991.74,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 20:00:00+10:00,307126.36,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 21:00:00+10:00,294222.62,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 22:00:00+10:00,277365.86,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-01 23:00:00+10:00,266545.48,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 00:00:00+10:00,257739.28,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 01:00:00+10:00,246638.66,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 02:00:00+10:00,236205.48,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 03:00:00+10:00,231303.82,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 04:00:00+10:00,232421.88,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 05:00:00+10:00,242553.11,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 06:00:00+10:00,253264.02,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 07:00:00+10:00,254990.4,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 08:00:00+10:00,244374.07,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 09:00:00+10:00,226294.15,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 10:00:00+10:00,220395.7,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 11:00:00+10:00,227306.13,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 12:00:00+10:00,230573.0,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 13:00:00+10:00,240689.86,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 14:00:00+10:00,254191.78,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 15:00:00+10:00,272730.36,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 16:00:00+10:00,288587.3,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 17:00:00+10:00,314391.47,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 18:00:00+10:00,344702.6,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
2025-10-02 19:00:00+10:00,340794.47,power,MW,1h,NEM,2025-10-28 05:48:27.980688,hourly_1month
